merchant,category,amt,lat,long,trans_num,merch_lat,merch_long,cc_num
"fraud_Hintz, Bauch and Smith",health_fitness,1.7,43.1699,-72.8515,6c58a441ceeb7dc623316c6a68158d29,42.390565,-71.932418,374930071163758
fraud_Labadie LLC,personal_care,2.17,35.6069,-90.3359,340ad023c64e8b7d2164ca3e53620186,36.581541,-89.680517,4334230547694630
"fraud_Eichmann, Hayes and Treutel",travel,6.21,30.5354,-95.4532,9662b7fede7772f80331fd0abbc7909d,31.432355,-95.537859,4225990116481262579
fraud_Leffler-Goldner,personal_care,24.44,40.7699,-73.9511,efbea5fb8c846843c13f224379ba249e,40.951475,-74.065226,4260059589824237
fraud_Kautzer and Sons,personal_care,176.23,38.3039,-85.4834,3f5587dd43e45910ba221bc3a4dfdd3f,38.585316,-86.108185,180094608895855
fraud_Ernser-Feest,home,134.39,40.6152,-74.415,bc7699cb759a26aa5dd58d4124febf8d,40.196876,-74.407686,4599735407877245080
"fraud_Haley, Batz and Auer",health_fitness,21.74,27.633,-80.4031,c3a4aa2a2242f932c576d974dae46a34,26.782874,-79.428065,630412733309
fraud_Nienow PLC,entertainment,210.36,42.9207,-91.0685,902facfd912019350d63a3539990638e,42.736666,-90.09971,2712209726293386
fraud_Lynch-Wisozk,home,52.81,39.6747,-76.8941,0ad27a9cf7fcb1e0774a86709cb248f1,39.289186,-77.113659,374125201044065
"fraud_Feil, Hilpert and Koss",food_dining,82.32,31.6453,-90.1801,5a13c85ba5d478ee2bed550c6ab71c1e,31.422908,-90.012124,349612764943496
fraud_Schiller Ltd,personal_care,26.31,33.9143,-118.3493,e91e10ae4ad160e1aee1054ea96de9ba,33.949418,-117.610248,3598215285024754
fraud_Hoppe-Parisian,kids_pets,134.6,33.9845,-85.9077,cc3733b9ecedc1a7b0053bd0647cdaaa,34.727266,-86.883794,213141712584544
fraud_Hoppe-Parisian,kids_pets,36.72,33.4629,-86.7904,60a92b482a0058d2769c1ab10c55cb25,32.761156,-85.903113,30561214688470
fraud_Brown-Greenholt,entertainment,105.78,41.2001,-92.1354,fc72537e1af1f675c8713aa1a36f3c53,41.214609,-92.226244,4789911625179723
fraud_Reilly LLC,home,39.95,30.4066,-91.1468,fb32dada5c853d60e84278eaae707ee2,30.382414,-90.923894,676372984911
"fraud_Moore, Williamson and Emmerich",home,47.81,29.5894,-98.5201,4ffb7174155b877c4d18d1d86e71e813,30.50995,-99.374201,30011465039817
fraud_Rau-Robel,kids_pets,18.96,42.4969,-83.2911,14dd61cec0b9be2d29aff70f605964ab,42.186473,-84.041557,4642255475285942
"fraud_Fadel, Mertz and Rippin",entertainment,46.67,38.5957,-99.554,822cd909aeb6a351637b5f9ba9866f19,39.456658,-99.569786,180067784565096
fraud_Lemke-Gutmann,shopping_net,969.7,36.3924,-91.9932,4afe8724ad1ed51bca2f0d08c9529e3b,37.310617,-92.913015,213126662687660
"fraud_Bahringer, Bergnaum and Quitzon",home,3.94,40.6761,-91.0391,4326b0d0ee56d328d40269e79a68ea30,40.922923,-91.977219,2266735643685262
"fraud_Koss, Hansen and Lueilwitz",home,84.11,39.2667,-77.5101,ce73a1c97d13e160112f3142781300ac,39.535382,-77.064747,3553629419254918
"fraud_Yost, Schamberger and Windler",kids_pets,31.19,33.5567,-90.5451,e7b73a4e22392a7800afdca8c230878f,33.693106,-89.594744,3511058278399773
"fraud_Armstrong, Walter and Gottlieb",food_dining,4.91,41.0767,-74.5982,def4f0ac7d3e4f02f33462a25632ef6c,41.061214,-73.997981,4110266553600176127
fraud_Friesen Ltd,health_fitness,5.36,37.3272,-91.0243,0920f8e36028f404b48385209a995113,38.211238,-90.421871,4265776278887457
fraud_Champlin and Sons,home,80.5,44.2541,-68.5565,c64caafcb8aaa4608fdba9f1ab53cbcc,44.95902,-69.150254,3583793405872580
fraud_Bins-Tillman,entertainment,49.57,40.7268,-124.2174,12ef39ddb0af3a6bea386509d9929a41,40.535495,-123.900519,213193596103206
fraud_Douglas-White,entertainment,79.51,43.0048,-108.8964,23e2084549f139d3fc1458aa6ebe2c6c,43.143727,-109.338705,60495593109
"fraud_Hermiston, Pacocha and Smith",health_fitness,34.17,38.2911,-92.7059,eda795ae153f71732ca5390ae6b5814f,38.420616,-92.942305,4725837176265195730
"fraud_Denesik, Powlowski and Pouros",home,9.75,27.2625,-80.3793,a2204915943d2fbb1f700042240502b0,26.708918,-79.679105,30404291151692
fraud_Nader-Maggio,personal_care,68.88,44.1554,-72.4847,a2dbde4624ee6e24bb9633ce9fcd1672,43.760065,-72.192128,213178850083780
"fraud_O'Reilly, Mohr and Purdy",home,30.73,36.3846,-89.4649,d23a9cc9f255e797022458fc9de3b2ce,36.312953,-89.938402,2356276337669917
fraud_O'Connell-Ullrich,home,63.27,38.9087,-77.0414,254585bc866b5c091b244515abba49da,39.417666,-76.627816,3568736585751727
fraud_Bauch-Blanda,entertainment,121.46,27.9004,-82.7152,1c819bcf6e07bd61322a1e61e8f0c70f,27.482301,-83.200829,4509142395811241
"fraud_Ruecker, Beer and Collier",shopping_net,9.23,40.6816,-73.9798,6c2b797c1729405a26268c665c4e5c8d,41.49385,-74.258146,3547560454237873
fraud_Berge-Hills,kids_pets,8.86,33.2887,-111.0985,bf6a53e1ba9d726edf1654d0899f533b,32.390381,-111.567332,4433091568498503
fraud_White and Sons,home,55.53,34.1556,-118.2322,c97a7d07cc73cb35af508befd2bc452b,33.623691,-118.424568,2720433095629877
fraud_Adams-Barrows,health_fitness,2.61,42.247,-73.7552,07013b6fac89440c1e8f15428f93b7f4,41.502652,-73.721972,4716561796955522
fraud_Crona and Sons,kids_pets,1.93,41.4575,-74.1659,c86b29ee783636aaceb7687877924f9c,40.857733,-73.447974,3536918668124647
fraud_Bauch-Blanda,entertainment,20.03,41.606,-109.23,da32ba67b0979adb0c65a60bdb01e64c,41.899218,-108.428107,3525668150756629
fraud_Pouros-Haag,shopping_pos,7.93,43.2893,-97.1904,3aedf92246758786b01168d5dc5773b5,43.795359,-96.833415,4707867759656333
"fraud_Hahn, Bahringer and McLaughlin",personal_care,20.4,26.4722,-81.8122,07dba59572da1a0db2cc95a80b002af7,26.674733,-82.009233,4666314527820883145
fraud_Ziemann-Waters,health_fitness,181.87,30.5354,-95.4532,a6dd646fb7f598d3545ade098183cbbd,31.152375,-95.272196,2248735346244816
"fraud_Wuckert, Wintheiser and Friesen",home,30.72,48.8328,-108.3961,18aeb4f97adbab1170c6c1b60b82c228,48.456992,-107.518067,4512828414983801773
fraud_Bauch-Blanda,entertainment,129.58,37.0581,-86.1938,8ec457ccddf3114213845f9d8ea1759c,36.192355,-85.869963,3501509250702469
fraud_Bednar PLC,kids_pets,5.13,40.6747,-74.2239,049d3ba5ef543bdabfa44b6443f3d20e,41.131668,-75.188408,30273037698427
fraud_Kihn Inc,shopping_pos,189.99,34.5091,-92.4828,bb3889edf0a90703cc3e281322e9aef1,34.44252,-92.264081,3558881852140592
fraud_Fisher Inc,shopping_net,5.37,32.9643,-96.6012,b75478a228cd12239ac8ec796664c665,32.071768,-96.748077,30487648872433
fraud_Leffler-Goldner,personal_care,6.04,43.5089,-93.4824,73cca6d94d97e2bb1a0c69d5decea9eb,44.388218,-93.400188,571465035400
"fraud_Schneider, Hayes and Nikolaus",food_dining,15.49,43.9446,-88.0911,17e947f7909a4423a22a41e9fe912281,43.52303,-88.132231,378006354724784
"fraud_Greenholt, O'Hara and Balistreri",shopping_net,4.94,27.7898,-82.7243,7402f469a73cf016d793d3111306017b,28.669762,-82.456744,341283058448499
fraud_Gottlieb-Hansen,personal_care,74.52,40.1008,-80.0652,069013b8389f4433e2e47ce227ccacf1,40.067362,-80.213927,4481131401752
"fraud_Douglas, Schneider and Turner",shopping_pos,4.4,34.847,-98.9836,67d795902f1bdaf4d042abfaa2e37496,34.858369,-98.135879,4687263141103
"fraud_Gutmann, McLaughlin and Wiza",home,71.68,38.7897,-93.8702,8caf8fcd904f367427bb0f699b8f7453,39.485253,-92.983354,5456776410929288
fraud_Champlin and Sons,home,33.97,48.34,-122.3456,c8eebe4d993fde9d6a7cfbec8494bb59,49.031436,-122.865744,4981132848794
fraud_Weber and Sons,food_dining,20.87,38.8564,-80.158,5a5a8db2cf7f2d86fa35114a841092b5,38.416893,-79.24534,6011893664860915
fraud_Bednar PLC,kids_pets,19.41,33.3305,-105.6933,65aef2c6b0d2975569f05afdd8d23377,33.775701,-106.03686,6534628260579800
fraud_Bartoletti and Sons,personal_care,21.57,42.9576,-75.4838,3c01079627483229758e02ea10811e72,42.541989,-75.057743,376028110684021
fraud_Powlowski-Weimann,food_dining,19.06,33.4629,-86.7904,e77fc08b8dcf79c20e724fea72946660,33.936769,-86.762376,571365235126
"fraud_Lakin, Ferry and Beatty",food_dining,60.07,44.8955,-85.4082,42d03a3e38f7c5aa63cb51a56266e771,45.877554,-85.362472,3518758680062249
fraud_Brown-Greenholt,entertainment,15.8,40.333,-73.9809,a0d3f84d700dfb8165a63087f824d381,41.186828,-74.811464,3577578023716568
"fraud_Terry, Johns and Bins",misc_pos,2.01,42.2665,-72.0821,8a358086076dd14ded0409aa035d2e6f,42.127625,-71.635136,213112402583773
fraud_Thiel-Thiel,entertainment,75.24,39.0965,-84.6431,eb52e370f7ed2183cf36ab2f6424c5df,39.417127,-84.959324,3592325941359225
fraud_Kuhn Group,food_dining,56.3,40.6267,-96.7456,e127320e58b70c069149e3973d0eb45a,41.41602,-95.774493,4683520018489354
"fraud_Schaefer, Fay and Hilll",entertainment,5.95,38.388,-79.9906,5fd8939565a1580d370082d81bbcb1f4,38.665727,-80.435349,3502088871723054
"fraud_Roberts, Ryan and Smith",personal_care,19.73,35.8184,-91.3375,ca1bd51b5324c47c68bed7bbfdd80753,34.871462,-91.496576,6511349151405438
fraud_Stiedemann Ltd,food_dining,128.33,43.9446,-88.0911,7f736b6cf6e36cdada7694aeca3daa24,43.051363,-87.799946,4198470814557
fraud_Pacocha-Weissnat,kids_pets,136.16,39.3716,-77.8229,0da884d5079ef2919db75faeb328a191,39.544819,-76.943965,4423489490781412
fraud_Homenick LLC,personal_care,16.8,33.413,-81.69,1023690403cb70fdd8df519f40fc9d54,33.647548,-80.75383,3518234918950662
fraud_Cartwright PLC,kids_pets,113.89,42.3703,-84.2485,c51cdf622b069ea4e183428de3e94dce,42.225874,-83.540129,6593250708747804
fraud_Pouros-Haag,shopping_pos,37.14,34.2853,-91.3336,80c507e5c3aba4a8602e46b842f128af,35.026522,-90.444442,6011492816282597
fraud_Kihn-Fritsch,food_dining,16.06,41.1464,-81.5107,04207da612fce9f0093acb23a68c11e7,40.312539,-81.654015,4149238353975790
fraud_Lynch Ltd,shopping_pos,1.01,36.9688,-78.5615,b1376da15c587d540fe1fce58e3f7592,37.901707,-79.52365,639046421587
fraud_Klein Group,entertainment,6.98,42.2203,-83.3583,ace32c67fb8d3d030fdddad4649c9dae,42.964421,-83.670351,2235613922823698
fraud_Quitzon-Goyette,home,31.88,38.2833,-75.8465,b0dc912812fad96b08bef19985b47c97,38.215956,-75.272334,5104807169438134
fraud_Greenholt Ltd,health_fitness,242.35,40.0897,-74.9781,39db7261e2dd32311c1e5ff2a52bac79,39.151823,-75.035003,180040027502291
fraud_Bahringer Group,health_fitness,20.66,41.4972,-98.7858,c824dd2d399b50aba31415d2985f97c0,41.103974,-98.4845,4129767952109660
fraud_Hilpert-Conroy,kids_pets,127.76,31.086,-85.7192,8306d2588665088674d4c93ff87f1748,31.361379,-85.084231,4018105808392773675
"fraud_Lakin, Ferry and Beatty",food_dining,4.24,38.2911,-92.7059,7c1fc4677c2c3c98b2fa39e7417bb09c,38.40991,-92.002267,4474324669797121
"fraud_Witting, Beer and Ernser",home,28.51,34.9889,-106.0609,a5d7194717ad3c916578a809950d2096,35.342658,-106.334921,30376238035123
fraud_Breitenberg-Hermiston,kids_pets,29.39,40.7152,-89.2706,4924a7f67664a95acbeaeb377d5e6a83,41.415532,-89.517881,348789608637806
fraud_Friesen Inc,shopping_pos,5.85,36.7651,-94.0492,b847bab5baeb184fccc801ad29558b87,37.191244,-94.746417,180014262259255
fraud_Gottlieb-Hansen,personal_care,12.64,39.6251,-82.7552,36889cdd6d799ccda86cf3c6509010b1,39.66641,-83.562243,2260801330657968
"fraud_Baumbach, Strosin and Nicolas",shopping_pos,9.63,29.6047,-96.5249,079d03199dc2ffb7c43dd5eb385a73ce,29.472265,-96.14221,4979422371139333
fraud_Rippin-VonRueden,health_fitness,18.02,31.3833,-95.0619,fbc91c22ac16b4b77f1e19395fcbdf95,30.950957,-94.108481,375767678113375
"fraud_Nienow, Ankunding and Collier",misc_pos,2.54,35.8596,-86.421,87e1122fde1f3bd876a983771001e1a0,36.333062,-86.086992,6011388901471808
fraud_Schmidt and Sons,shopping_net,9.17,32.6176,-86.9475,cc4cbdd981c4168207c152552049c6c4,32.678558,-87.272214,4607072969078276
"fraud_Prosacco, Kreiger and Kovacek",home,26.03,41.0646,-87.5917,bfcb7bca0abb957f3bb3aedf0c53a448,42.013548,-88.039021,4229733778084049
fraud_Schumm PLC,health_fitness,46.81,36.385,-98.0727,d9b78593363eb13e3c9df801ac3eb3cf,37.019405,-97.388758,502012776709
fraud_Berge-Ullrich,home,61.44,33.5623,-112.0559,8ff1723f3c170304d75667e0b38340a9,33.914314,-111.576584,501882822387
"fraud_Roob, Conn and Tremblay",shopping_pos,68.51,33.4044,-96.2238,bd5f6bdf511756c4bcd0899b4e7ae167,32.852509,-95.443675,30270432095985
fraud_Kihn-Schuster,food_dining,57.53,43.0976,-70.7121,5604d2f56dafb70fb50d04097fa5ba43,42.526152,-70.524338,4683638447911
fraud_Tillman LLC,travel,2.3,44.6084,-70.6993,4fa5b0675da2c2de8056876f621c0f69,43.70784,-71.15595,3567879740649740
fraud_Monahan-Morar,personal_care,28.74,43.6498,-116.4306,deacd215ee877a514656c57be9a2b48d,43.84533,-116.859776,6011104316292105
fraud_Powlowski-Weimann,food_dining,1.92,44.0575,-69.9656,91a54264afc003d048c777e4ad5b1afc,44.191357,-70.730185,3506592072985012
fraud_Botsford Ltd,shopping_pos,3.37,32.8463,-96.6972,669f6c81e6fe6f99a4bb6c5f2802c1ca,32.422918,-96.070476,3519607465576254
fraud_Hamill-D'Amore,health_fitness,22.42,35.9866,-106.0654,5cc15d56b7341ea11cc952e4f6289a2b,36.955738,-105.798176,676245600876
"fraud_Bradtke, Torp and Bahringer",personal_care,12.33,33.6372,-96.6184,e1d67d1bdbfad574800947945fa80f13,34.17475,-96.873112,36360452125889
fraud_Corwin-Romaguera,travel,6.85,32.7004,-97.6039,cabf90039e8dad0f7b6627b4f9923008,33.268393,-98.42305,3543299015720986
fraud_Gaylord-Powlowski,home,80.8,40.8731,-96.1528,f6eed8faf9b934c56a52baa4e8cbf7d2,41.056503,-96.593249,6011504998544485
fraud_Mayert Group,shopping_pos,5.61,33.9056,-118.0818,a7a9c929d59b6e142e703b4b60fc9d75,34.154574,-117.853243,4958589671582726883
"fraud_Baumbach, Strosin and Nicolas",shopping_pos,7.47,39.3543,-82.503,2354372523a6373def295b4b921aa943,39.087656,-82.268046,3565943051129759
fraud_Beier and Sons,home,43.47,44.5232,-86.2061,01e26ef1319fe44bff28751b8e7b0d27,43.621152,-85.447931,4060579726528237
fraud_Abbott-Steuber,personal_care,8.32,44.0385,-123.0614,5608b93eb3a58c087fc11a809718d9e1,43.046296,-122.689361,4186530744674
fraud_Sporer-Keebler,personal_care,37.0,43.7588,-97.8712,0adbb8f5d6b042f32f2391d8d349cd66,44.398989,-97.772526,6515067575568369
fraud_Ernser-Lynch,food_dining,9.76,40.6816,-73.9798,07972757acdafdc949dd42ce5c6cf07d,41.402386,-73.167331,3541687240161491
fraud_Reilly LLC,home,75.99,36.4992,-120.0936,8d3e8fd863637cec9c1a3c517d2096ad,35.884509,-120.349641,213175487106448
fraud_Little Ltd,kids_pets,26.54,41.1558,-101.136,01de2fecd50d677ce0a9ce87b760bd49,41.1231,-101.207306,36721445180895
fraud_Gislason Group,travel,558.03,30.251,-92.5002,95427dcec71aa88ad39bf523084d1bca,30.87087,-92.873036,3511378610369890
fraud_Stark-Koss,home,5.26,27.9865,-82.0139,b28a70d840dae6c46bec7df6c8340cfd,28.642801,-82.701559,6011367958204270
"fraud_Crist, Jakubowski and Littel",home,46.33,38.1485,-98.6408,51cdc787845ce5aab65a7598e5127553,38.908427,-99.275548,38199021865320
fraud_Kling-Ernser,entertainment,19.3,39.1505,-79.503,3c16826f4605f06be65c218e14321e10,39.097309,-79.398315,213113028819344
fraud_Lubowitz-Walter,kids_pets,49.77,40.4542,-98.6538,afdf2f92eb150d6b7bc274ee6ee1d378,39.723854,-98.16341,4653879239169997
"fraud_Cronin, Kshlerin and Weber",health_fitness,109.54,42.3327,-95.6045,97a5689374259165c553e66d3a81d1f8,42.079377,-96.459033,3583635130604947
fraud_Upton PLC,entertainment,48.05,41.3851,-80.1752,abc1f238e28693cfe3728856b2aba429,41.928491,-80.004966,3541160328600277
fraud_Kilback Group,food_dining,7.25,37.2409,-82.7696,ab7249121f58e23cdfe7073c3e44e751,36.578865,-83.087049,348379466427142
fraud_Carroll PLC,health_fitness,145.44,33.7367,-86.1619,4261f223080c243558f1f5f0752e26f4,33.315422,-85.538494,374821819075109
fraud_Effertz LLC,entertainment,173.09,31.2462,-83.6549,e558e093053328aba4af71a4b98a9a4e,32.024134,-84.370346,30442439074871
fraud_Windler LLC,kids_pets,42.21,27.9004,-82.7152,622c606c3699ae063f4ecc8396c1ca23,28.51525,-81.9264,213124978348176
fraud_Satterfield-Lowe,travel,4.13,41.0472,-79.8089,bf22bf7594e4fde6d8505583a3aa513a,42.039551,-80.43667,4646845581490336108
fraud_Schuppe-Schuppe,food_dining,8.57,29.0393,-95.4401,9c157efc6d10cbbe6466a1e22ab1be1c,28.984465,-95.201668,2233882705243596
fraud_Hickle Group,shopping_pos,2.6,37.0581,-86.1938,08e1c67ce4d29fce88699c006b5e1326,37.768096,-85.96479,4623560839669
fraud_Nader-Heller,misc_net,7.01,37.0581,-86.1938,d538564d5f10e27d085d28a729d2d712,37.330453,-86.371893,374656033243756
fraud_Auer-West,shopping_net,32.82,26.7383,-80.276,29e429a9aa6b648608808cf528acce73,27.22974,-79.854819,4997733566924489
"fraud_Lesch, D'Amore and Brown",food_dining,6.96,39.6967,-78.8031,4e356cf545db05d550a7fd6938b9e23d,39.373197,-78.936159,36890292963032
fraud_Barrows PLC,shopping_pos,1.8,39.1657,-84.233,6423f3a9873d7b30151eeada5f6017b8,39.718638,-83.508406,4538566639857
"fraud_O'Connell, Botsford and Hand",home,63.92,48.8328,-108.3961,8f5909f09ba243baf2e2a7fe35b04d62,48.593996,-109.34164,3514897282719543
fraud_Kihn Inc,shopping_pos,3.93,44.6087,-74.9732,040b4662b0dd06a0e5f7eb81d0959721,44.838244,-73.999716,4089096483689733451
fraud_Bode-Schuster,kids_pets,49.07,37.5802,-80.5248,1b3c6309a57bf4c278909a3e443a69be,37.234253,-80.919841,4410582919485061752
fraud_O'Keefe-Wisoky,food_dining,9.44,31.8351,-101.0017,4fd98a1d5c20d491f465396a2fa7b7cf,31.58089,-100.124515,3577663406369449
fraud_Thiel-Thiel,entertainment,67.9,39.9961,-79.7678,dae3acfdc809114694a329092fa7a4ab,39.405308,-80.276368,3558652751678952
fraud_Conroy-Emard,food_dining,2.89,43.2326,-86.2492,696499e736d236354eb923e84bee46d0,42.771404,-86.007649,2318062975163331
fraud_Kutch-Ferry,home,124.66,43.0048,-108.8964,f21e1a09f59c50a66735409308285b1d,42.945526,-108.530901,4998109455173950
fraud_Donnelly LLC,entertainment,147.98,39.8355,-84.2613,f98bb52a6572081f4f36c75e1e17419a,39.990538,-83.772467,4079773899158
"fraud_Swaniawski, Nitzsche and Welch",health_fitness,12.32,35.6069,-90.3359,e425481e14107e857910b3112ffd09c2,36.366507,-89.559427,4740713119940984
fraud_Weimann-Lockman,kids_pets,96.19,40.7152,-89.2706,e5b8b489e92f287af65bda03af02f030,41.264839,-89.537983,6011552879910390
fraud_Runte-Mohr,food_dining,74.93,33.7467,-117.1721,32d09af0255fb72c82da7191246d8205,32.811948,-117.597983,4116554952971686
"fraud_Dare, Fritsch and Zboncak",health_fitness,133.84,24.6557,-81.3824,3d9306d075b6b52268ba7c890be3b74a,24.630585,-80.806677,3575789281659026
"fraud_Kihn, Brakus and Goyette",personal_care,68.79,40.8618,-85.6067,afaa281ba58cf4c3a58b440d6106fb46,40.754358,-84.74907,4560004149983868183
fraud_Medhurst PLC,shopping_net,118.21,36.9688,-78.5615,0a4e8eb858470184696ba2026a105361,36.46674,-78.785534,4393520897625
fraud_Waelchi Inc,kids_pets,64.36,47.9657,-116.868,c847bb58c601f2f452b25635b706131b,47.57809,-117.293211,4488258847705225890
fraud_Quitzon-Goyette,home,16.02,38.2586,-78.4074,95b28c98c518e783969e6faeef2817d2,38.897742,-79.366165,30092964733035
fraud_Schumm PLC,shopping_net,1199.45,34.2651,-77.867,249ecb7b44d6d42a8eb155833fe23c53,34.622777,-77.827863,4302480582202074
fraud_O'Keefe-Wisoky,food_dining,7.44,38.8265,-82.1364,6a6950d57d0392520d9c6cef99cb5139,39.656974,-81.869361,3533742182628021
fraud_Dickinson Ltd,personal_care,30.09,40.3625,-87.6692,5b1d22a101d05ab7604228edb383afbb,40.875589,-87.326088,4969856774088583
"fraud_Little, Gutmann and Lynch",shopping_net,28.94,41.3851,-80.1752,88c4b3f91b1381005e54ecf64d47074c,41.990632,-79.263948,30344654314976
fraud_Schaefer Ltd,kids_pets,185.27,44.8816,-73.6408,2567ddb79772901c49f33ce71c1725cc,44.94133,-72.776396,3541554378551366
fraud_Ankunding LLC,shopping_net,4.74,40.6816,-73.9798,e1766317e6eb58ae76cdc01a47c63584,41.054447,-73.397034,4761403817546679245
fraud_Schoen-Quigley,kids_pets,85.39,30.2385,-90.8435,a8480e70abddf42a38235d99bead2e94,30.294573,-91.095702,4239552724014407
fraud_Leffler-Goldner,personal_care,8.04,39.2092,-76.6681,80238f7c0f608c0acdbae0606c1d50c4,38.822123,-76.630036,6517217825320610
fraud_Towne LLC,misc_pos,3.27,31.882,-88.9981,3e07083b31a9f4ec8572c8bdf404aa45,30.913891,-89.899434,3560336828629935
fraud_Schaefer Ltd,kids_pets,95.67,36.7651,-94.0492,b73444bf97ae00beee417c486c72037a,37.587316,-93.356223,4364010865167176
"fraud_O'Connell, Botsford and Hand",home,69.86,33.413,-81.69,9403d07997aa1f0bd127cb0fefc9d246,34.071619,-81.220208,4826655832045236
fraud_Schoen-Quigley,kids_pets,38.88,30.5668,-90.482,994d71674f1338f94f9d6e45c2d22993,29.903396,-90.938375,3595111028444131
"fraud_Hills, Hegmann and Schaefer",health_fitness,30.13,40.6816,-73.9798,8ff2dc53da0c292fc7effce265fa2019,39.757225,-74.168759,4745996322265
"fraud_Durgan, Gislason and Spencer",home,72.11,40.6025,-80.3863,cf8f797d5cecd6da34bd695e94f38d24,40.748806,-80.020684,3576431665303017
"fraud_Hauck, Dietrich and Funk",kids_pets,70.54,41.71,-111.9817,f446cd7512da7d551e93c5039313f5c5,42.491626,-112.511975,3566094707272327
"fraud_Lubowitz, Terry and Stracke",personal_care,23.23,41.606,-109.23,c6fe3189d929456a779d341498fb177b,42.096035,-109.177709,3598895972308782
fraud_Erdman-Ebert,personal_care,51.05,42.5232,-72.811,2ad013f65673cfecae9888a03ea01f34,41.642272,-72.961369,4992346398065154184
fraud_Kub PLC,personal_care,97.73,39.5994,-105.0044,72acc3171b3d508b453db1b030a4697d,40.399461,-104.893892,6573561108825071
"fraud_Lehner, Reichert and Mills",misc_pos,2.13,40.4109,-74.238,30c448bc4d6f4cc7b506c863259aeae3,41.326093,-74.999578,3573386445588324
